country,market_label,listings,avg_rfm_score,avg_rfv_score,avg_recency_days,avg_frequency_reviews,avg_monetary_proxy,avg_value_proxy,high_risk_rate,maintain_and_protect,commercial_risk,reliable_reactivation
United States,Asheville,2852,9.746844319775596,10.846072931276296,1130.9554698457223,113.71563814866761,15634.674263674615,91.81687377279101,0.029803646563814866,1723,33,340
United States,New Orleans,453,10.509933774834437,10.450331125827814,1390.494481236203,61.571743929359826,57540.39735099338,85.99704194260485,0.07505518763796909,282,9,20
Mexico,Mexico City,27051,9.745295922516728,9.820635096669255,1561.5946175742117,53.777679198550885,70363.44327381613,87.39814454179144,0.05729917563121511,14704,1071,1274
Japan,Tokyo,27945,10.584791554839864,9.752406512792986,1604.6120594023976,35.965360529611736,773924.5235641438,87.99101850062624,0.013240293433530148,16735,3441,115
Spain,Girona / Costa Brava,17069,8.78001054543324,8.606186654168376,2050.0214423809243,25.17704610697756,26104.013123205812,81.44750061515028,0.09889272950963736,6698,744,745
Brazil,Rio de Janeiro,43068,7.735673818148045,8.395258660722579,2406.514628030092,26.18454537011238,10285.58707160769,82.50582548527909,0.1239899693507941,13735,518,4710
Spain,Barcelona,18177,8.62705616988502,8.165758926115421,3115.847004456181,54.563184243824615,56358.0458271442,76.01895802387634,0.18561918908510755,7299,592,474
