model,MAE,RMSE,SMAPE,R2,train_months,test_months,train_start,train_end,test_start,test_end,target,source
XGBoost,38941.16796875,44779.143716690254,60.030836235042585,-0.38200950622558594,141,36,2011-06-01,2023-02-01,2023-03-01,2026-02-01,monthly_reviews,data/gold/reviews.parquet
LightGBM,38765.00315211677,45320.14824620175,57.11506137524043,-0.41560491643031994,141,36,2011-06-01,2023-02-01,2023-03-01,2026-02-01,monthly_reviews,data/gold/reviews.parquet
CatBoost,40961.14988690043,46540.35954577859,62.59835482421747,-0.49285933047560726,141,36,2011-06-01,2023-02-01,2023-03-01,2026-02-01,monthly_reviews,data/gold/reviews.parquet
