model,accuracy,precision,recall,f1,roc_auc,train_rows,test_rows,positive_rate_train,positive_rate_test,target_definition
logistic_base,0.9734289792482523,0.8613617719442166,0.8440514469453376,0.8526187576126675,0.9902828928160585,109292,27323,0.09106796471836914,0.0910588149178348,risk_segment High/Critical del mart listing_trust_risk
logistic_balanced,0.9401603045053618,0.6085517943497073,0.9610128617363344,0.7452080411407199,0.9898184448226461,109292,27323,0.09106796471836914,0.0910588149178348,risk_segment High/Critical del mart listing_trust_risk
