rfv_segment,listings,avg_recency_days,avg_frequency_reviews,avg_price,avg_monetary_proxy,avg_value_proxy,high_risk_rate,listings_pct
Valiosos a potenciar,39070,192.1156385973893,40.43841822370105,6400.055464550806,233346.81318146916,93.80162969029946,0.0,0.28598616550159206
Monitoreo selectivo,30806,407.90819970135686,10.841913912874116,4793.104103096799,46509.11809387781,87.63774108939816,0.0009413750568071155,0.22549500420890825
Confiables y activos,29784,139.82050765511684,114.77289820037605,5475.543043244696,499984.7090887725,97.06427007789418,0.0,0.21801412729202505
Baja confianza o baja actividad,24991,9999.0,0.0,7469.599195710456,0.0,50.83199791925093,0.47741186827257814,0.1829301321231197
Riesgo operativo medio,11964,1010.5229856235372,2.4187562688064195,2636.278752925443,6116.935013373453,77.18295553326647,0.04020394516883985,0.08757457087435494
