rfm_segment,cantidad_listings,recency_promedio,frequency_promedio,monetary_proxy_promedio,rfm_promedio,risk_score_promedio,high_critical_pct,porcentaje
Valor medio operativo,43514,329.890311164223,25.292756354276783,122316.10734476261,9.022820241761272,11.800873282162064,0.13,31.85
Dormidos,40201,3651.2886744110842,0.8735354841919355,1889.6166015770752,4.167533145941643,40.18010149001269,30.79,29.43
Champions / Alto valor activo,24656,153.13591012329655,101.04915639195328,595080.1060188189,13.520603504218041,3.664805321219987,0.0,18.05
Frecuentes de bajo valor,12579,116.84211781540662,113.83973288814691,0.0,10.127593608394944,9.20485412194928,0.0,9.21
Potenciales en crecimiento,11869,153.50080040441486,8.153256382172044,63693.388912292525,10.853399612435757,8.7523211728031,0.03,8.69
Alto valor en riesgo,3752,526.6564498933902,54.71215351812367,298921.01625799574,10.690565031982942,8.974227078891259,0.0,2.75
Nuevos o poca evidencia,44,137.5,1.0,701.8409090909091,7.068181818181818,24.54409090909091,2.27,0.03
